id,keyword,location,text,target,prob_DIS_TRUE,prob_DIS_FALSE,prediction
22063,wildfire,The European Union (EU),The business impact of Australia’s wildfires is starting to sink in https://t.co/9vtOkOJlCn (#RT),1,0.9060732,0.09527596,Disaster
22064,wildfire,,🎁AWP | Wildfire FT (€64)🎁 #CSGOGiveaway To win: ✅Retweet + Follow me ✅Tag 2 Friends ✅Like &amp; Comment on vid: https://t.co/FRK…,0,0.21010847,0.79790497,NOT a Disaster
22067,wildfire,,Girls: omg I’m appalled after seeing the condition of these animals after the Australian wildfire oh god plz save them…,1,0.74699867,0.2114736,Disaster
22068,wildfire,🇨🇦❤️          🛑NO DMs❗️,🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classified as endange…,1,0.84836495,0.13931626,Disaster
22069,wildfire,England,The Australia wildfire relief is getting a huge boost from right now https://t.co/cawKzaTqmb,1,0.9092449,0.09317184,Disaster
22070,wildfire,Kabi Kabi land. Queensland.,"New growth on Wollemi Pine (Wollemia nobilis) in my collection. My plants were subjected to wildfire on December 15th, 201…",1,0.8579142,0.141988,Disaster
22071,wildfire,"Cloudsdale,Equestria Zone",Call of Duty: Modern Warfare's Outback Pack profits will be used for Australian wildfire relief https://t.co/uck7uVqAcL https:…,1,0.80017465,0.18862465,Disaster
22072,wildfire,Planet Earth,Today publishes its first Rapid Response Review on #wildfire risks https://t.co/n1aEo0Elos **All** 57 sc…,1,0.86337095,0.12463065,Disaster
22073,wildfire,,Future #wildfire risks grow with each added degree. To minimise growth in fire risk we must in fire risk we must stabilise…,1,0.8395774,0.15042989,Disaster
22075,wildfire,,Visual map of the papers supporting the risk of wildfire. Watch this space! https://t.co/n54ME4MlC1,1,0.84868664,0.14386187,Disaster
22076,wildfire,Hell,"Parkway Drive Donated $34,000 to Australian Wildfire Relief : https://t.co/ffKKglU5tr",1,0.8927805,0.105999306,Disaster
22078,wildfire,Bangladesh,"Entrepreneur: Jeff Bezos Gets Slammed for Meager 690,000 Donation to Australian Wildfire Crisis https://t.co/Y5os3u2p9J",1,0.862422,0.13458084,Disaster
22079,wildfire,"Fort Hood, TX",🐨 Australia’s koala population has taken such an “extraordinary hit” from the wildfires that it could be classifie… https://t.co/m8vMMlO32n,1,0.87040985,0.12103094,Disaster
22081,wildfire,"California, USA",Australia wildfire map update: High and very high fire danger forecast as thunderstorms might hamper containment efforts http…,1,0.91287535,0.08701633,Disaster
22082,wildfire,"Sydney, Australia",Strato: Meet Some Of The Australian Animals Hardest Hit By The Wildfire Disaster https://t.co/sdCVMowxgq #startup… https://t.co/gp9QVWhLud,1,0.7987448,0.17959599,Disaster
22083,wildfire,"New York, NY",The toll from Australia's wildfires thus far: -At least 28 people killed -1 billion animals feared dead -Over 25 million acr…,1,0.9195331,0.07842247,Disaster
22087,wildfire,"Bargone di Casarza Lig, Italia","Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency https://t.co/g2TH9TUZQw",1,0.9315106,0.07122894,Disaster
22088,wildfire,"Newark, NJ","Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency https://t.co/eSTO9doFZe",1,0.9315106,0.07122894,Disaster
22089,wildfire,,"How , a photographer shooting Australia's wildfires for The Times, captured the devastation in one click.…",1,0.891219,0.1064789,Disaster
22090,wildfire,,"CUHK professor Fang Kecheng revisits the real lessons of the disastrous 1987 Daxing’anling Wildfire, after a shameless…",1,0.9126398,0.087233946,Disaster
22091,wildfire,"Kolkata, India","Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency https://t.co/GKYJPZfGnE",1,0.9315106,0.07122894,Disaster
22092,wildfire,,thank you to . for donating to .’s Do Good Inc. fundraiser to help fight the Australia wildfire c…,1,0.7814185,0.21641982,Disaster
22093,wildfire,Hollywood-adjacent,"A wildfire may seem natural but it’s a pollution event. You’re not going to win against particles, even if you’re a… https://t.co/l88BtwdB6L",1,0.738463,0.23232909,Disaster
22094,wildfire,,Carrots to the rescue for animals in wildfire-ravaged forests in New South Wales https://t.co/bGSNkTwqwn,1,0.8341886,0.15396062,Disaster
22095,wildfire,,"#Yoshiki donated $100,000 to Australian wildfire relief &amp; a rain forest trust. https://t.co/4sFWTk1GWB",1,0.8394374,0.15422738,Disaster
22098,wildfire,"Norwich, UK",Future #wildfire risks grow with each added degree. To minimise growth in fire risk we must in fire risk we must st… https://t.co/bMVfhgFvTg,1,0.8402775,0.1478063,Disaster
22099,wildfire,"Norwich, UK",Today publishes its first Rapid Response Review on #wildfire risks https://t.co/n1aEo0Elos **All*… https://t.co/EzhinzWa8j,1,0.8675132,0.123644285,Disaster
22103,wildfire,Worldwide,"New post: ""Parkway Drive Donated $34,000 to Australian Wildfire Relief"" https://t.co/xM0k86dpoc",1,0.88402456,0.115683496,Disaster
